,checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment_since,installment_rate,gender,marital_status,other_debtors,residence_since,property,age,other_installment_plans,housing,n_credit_cards,job,n_people_liable,telephone,foreign,y
1,1.0,48.0,A32,radio/TV,5951.0,0.0,2.0,2.0,female,divorced/separated/married,none,2.0,real_estate,22.0,none,own,1.0,2.0,1.0,none,yes,2
3,0.0,42.0,A32,furniture/equipment,7882.0,0.0,3.0,2.0,male,single,guarantor,4.0,building,45.0,none,free,1.0,2.0,2.0,none,yes,1
4,0.0,24.0,A33,car (new),4870.0,0.0,2.0,3.0,male,single,none,4.0,unknown/none,53.0,none,free,2.0,2.0,2.0,none,yes,2
7,1.0,36.0,A32,car (used),6948.0,0.0,2.0,2.0,male,single,none,2.0,car or other,35.0,none,rent,1.0,3.0,1.0,yes,yes,1
9,1.0,30.0,A34,car (new),5234.0,0.0,0.0,4.0,male,divorced/separated/married,none,2.0,car or other,28.0,none,own,2.0,3.0,1.0,none,yes,2
10,1.0,12.0,A32,car (new),1295.0,0.0,1.0,3.0,female,divorced/separated/married,none,1.0,car or other,25.0,none,rent,1.0,2.0,1.0,none,yes,2
11,0.0,48.0,A32,business,4308.0,0.0,1.0,3.0,female,divorced/separated/married,none,4.0,building,24.0,none,rent,1.0,2.0,1.0,none,yes,2
12,1.0,12.0,A32,radio/TV,1567.0,0.0,2.0,1.0,female,divorced/separated/married,none,1.0,car or other,22.0,none,own,1.0,2.0,1.0,yes,yes,1
13,0.0,24.0,A34,car (new),1199.0,0.0,4.0,4.0,male,single,none,4.0,car or other,60.0,none,own,2.0,1.0,1.0,none,yes,2
14,0.0,15.0,A32,car (new),1403.0,0.0,2.0,2.0,female,divorced/separated/married,none,4.0,car or other,28.0,none,rent,1.0,2.0,1.0,none,yes,1
15,0.0,24.0,A32,radio/TV,1282.0,1.0,2.0,4.0,female,divorced/separated/married,none,2.0,car or other,32.0,none,own,1.0,1.0,1.0,none,yes,2
18,1.0,24.0,A32,car (used),12579.0,0.0,4.0,4.0,female,divorced/separated/married,none,2.0,unknown/none,44.0,none,free,1.0,3.0,1.0,yes,yes,2
21,0.0,6.0,A32,radio/TV,2647.0,2.0,2.0,2.0,male,single,none,3.0,real_estate,44.0,none,rent,1.0,2.0,2.0,none,yes,1
22,0.0,10.0,A34,car (new),2241.0,0.0,1.0,1.0,male,single,none,3.0,real_estate,48.0,none,rent,2.0,1.0,2.0,none,no,1
23,1.0,12.0,A34,car (used),1804.0,1.0,1.0,3.0,male,single,none,4.0,building,44.0,none,own,1.0,2.0,1.0,none,yes,1
25,0.0,6.0,A32,furniture/equipment,1374.0,0.0,2.0,1.0,male,single,none,2.0,real_estate,36.0,bank,own,1.0,1.0,1.0,yes,yes,1
27,2.0,12.0,A31,radio/TV,409.0,3.0,2.0,3.0,female,divorced/separated/married,none,3.0,real_estate,42.0,none,rent,2.0,2.0,1.0,none,yes,1
28,1.0,7.0,A32,radio/TV,2415.0,0.0,2.0,3.0,male,single,guarantor,2.0,real_estate,34.0,none,own,1.0,2.0,1.0,none,yes,1
29,0.0,60.0,A33,business,6836.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,63.0,none,own,2.0,2.0,1.0,yes,yes,2
30,1.0,18.0,A32,business,1913.0,3.0,1.0,3.0,male,divorced/separated/married,none,3.0,real_estate,36.0,bank,own,1.0,2.0,1.0,yes,yes,1
31,0.0,24.0,A32,furniture/equipment,4020.0,0.0,2.0,2.0,male,single,none,2.0,car or other,27.0,stores,own,1.0,2.0,1.0,none,yes,1
